,0
0,명품백 구매처는 어디세요? 😯 입문자라 주로 온오프라인 각각 어디서 사시는지 궁금해여!﻿
1,와 진짜 솔직하게 리뷰해주셔서 너무 재밌게 잘봤어요 다른 유튜버들은 10개 소개하면 10개 다 너무이쁘죠~ 맨날매요~ 이런식인데 하늘님은 진짜 자주맨거랑 손이안가는거 솔직하게 오픈하고 단점 장점 다 말해주시니 20분 후딱 지나갔네요 ㅋㅋ 더 흥하시길 바라고좋은 컨텐츠마니  만들어주세뇨﻿
2,베르토니 가방 너무 귀엽다...﻿
3,로즈하님이 가지고있는 발렌시아가 가방이랑 똑같은건가??﻿
4,"명품백 가방 영상 중에서 실용적으로 설명을 잘 해주시는 것 같아요. 가볍다. 막 들어도 괜찮은 가방이다. 등등 
영상 만들어줘서 감사해요. ^^﻿"
5,두번째 가방 발렌시아가 미니 시티 모터백이아니라 파비에르 a6 이나 a4 인것같아요!! 가죽재질이랑 옆에 지퍼디자인이 모터백이아니라 파비에르 같네용﻿
6,저랑 백취향 똑같으시네요 ㅎㅎ﻿
7,투명빽  이쁜데.   저도  사고 싶은데  도와주삼 !﻿
8,"뒤에 발렌시아가 모터백 저거 백화점에서 사신건가요~? 진품디자인을 실제로 보니 넘 이뿌네요~~~~


전 학생 때, 저거 비슷한 스타일로 2~3만원 주고 몇 개월 들고다녔는데, 실제로..진품을 들고 다닌 분 보니까 넘 부러워요~~~~~~~~~~~~그 옆에 옅은 하늘 색 가방은 지방시인 지, 뤼비통인 지 몰라도 색깔이 영롱하네요~ 밥 안먹어도...가방 정리함만 쳐다봐도 배부를 것 같아요!﻿"
9,"기스라는 단어 말고 흠집이라는 단어를 쓰는게 좋아요 ~~ :”) 
(기스는 일본말입니다)﻿"
10,"귀걸이
정보좀 알려주세요....﻿"
11,‘진짜’라는 말이 몇번 나올까요﻿
12,발랜시아가﻿
13,뭐든지 뽕 뽑아 버리는 최고의 뽕 킬러 ㅠㅠㅠㅠ큐트 그 자체 ㅠㅠㅠ﻿
14,"구찌백 사주셨던 분 속상하시겠다 
기껏 사주셨는데 무겁고,과하고,잘 들고 다니지도 않고,손도 많이 안가고.ㅠㅠㅠ﻿"
15,"와.. 이런거 보면 자괴감든다..
열심히살ㄹ아야겠다는 생각이 확확 드는 영상 ㅎㅎ﻿"
16,"하늘만큼 열심히 일많이하고 돈많이벌면 큰맘몇번이고먹어서 백살수있지,,게으른 저는 반성할뿐...ㅋㅋㅋㅋㅋㅋ﻿"
17,언니 옷 정보알려주실수있나요~?﻿
18,가죽의 심하지 않은 오염은 휘발류로 살짝 닦아주면 지워집니다~ (가죽이염은 안지워짐)﻿
19,
